Player Name,Team,rec_att,rec_yds,rec_tds,fumbles,fpts
Travis Kelce,KC,6.3,79.1,0.7,0.1,18.1
Darren Waller,LV,6.3,68.0,0.6,0.1,16.4
T.J. Hockenson,DET,4.4,50.0,0.4,0.0,12.1
Hunter Henry,LAC,4.4,50.4,0.5,0.0,12.1
Dallas Goedert,PHI,3.9,43.3,0.4,0.0,10.7
Evan Engram,NYG,4.5,51.6,0.2,0.0,10.7
Robert Tonyan,GB,3.3,39.2,0.4,0.0,9.9
Eric Ebron,PIT,4.0,42.8,0.3,0.0,9.8
Noah Fant,DEN,4.0,46.3,0.2,0.0,9.6
Hayden Hurst,ATL,3.9,43.5,0.2,0.0,9.4
Austin Hooper,CLE,3.8,41.1,0.2,0.0,9.1
Jordan Reed,SF,3.9,39.8,0.2,0.0,9.1
Mike Gesicki,MIA,3.3,41.1,0.2,0.0,8.8
Kyle Rudolph,MIN,3.4,37.0,0.2,0.0,8.4
Dalton Schultz,DAL,3.8,36.8,0.1,0.0,8.3
Mark Andrews,BAL,2.8,33.8,0.3,0.0,7.9
Zach Ertz,PHI,3.4,35.8,0.1,0.0,7.9
Trey Burton,IND,3.2,33.3,0.2,0.0,7.8
Jordan Akins,HOU,3.2,36.7,0.2,0.0,7.7
Anthony Firkser,TEN,3.1,34.8,0.2,0.0,7.7
Logan Thomas,WAS,3.3,32.6,0.1,0.0,7.4
Jimmy Graham,CHI,2.9,32.2,0.2,0.0,7.2
Tyler Higbee,LAR,2.7,30.7,0.2,0.0,6.8
Tyler Eifert,JAC,2.7,27.9,0.1,0.0,6.2
Gerald Everett,LAR,2.5,27.6,0.1,0.0,5.8
Jacob Hollister,SEA,2.6,24.8,0.1,0.0,5.8
Jared Cook,NO,2.0,27.7,0.1,0.0,5.5
Drew Sample,CIN,2.5,24.0,0.1,0.0,5.2
Harrison Bryant,CLE,1.9,20.4,0.2,0.0,4.8
Mo Alie-Cox,IND,1.7,23.6,0.1,0.0,4.7
Darren Fells,HOU,1.6,19.2,0.1,0.0,4.4
Chris Herndon IV,NYJ,1.7,18.9,0.1,0.1,4.2
Will Dissly,SEA,1.5,18.0,0.1,0.0,4.0
Dawson Knox,BUF,1.6,19.6,0.1,0.0,4.0
Dan Arnold,ARI,1.5,18.6,0.1,0.0,4.0
Cole Kmet,CHI,1.4,16.3,0.1,0.0,3.6
James O'Shaughnessy,JAC,1.6,15.2,0.1,0.0,3.5
David Njoku,CLE,1.3,15.5,0.1,0.0,3.5
Ryan Izzo,NE,1.3,18.2,0.1,0.0,3.5
Jack Doyle,IND,1.4,14.9,0.1,0.0,3.4
Ross Dwelley,SF,1.4,14.3,0.1,0.0,3.4
Geoff Swaim,TEN,1.5,12.6,0.1,0.0,3.2
Durham Smythe,MIA,1.3,12.4,0.1,0.0,3.2
Luke Willson,BAL,1.3,12.2,0.1,0.0,3.1
MyCole Pruitt,TEN,1.1,11.5,0.1,0.0,3.1
Richard Rodgers,PHI,1.2,14.5,0.1,0.0,3.0
Maxx Williams,ARI,1.3,12.1,0.1,0.0,2.9
Jesse James,DET,1.3,13.0,0.0,0.0,2.9
Adam Shaheen,MIA,1.0,10.9,0.1,0.0,2.8
Marcedes Lewis,GB,1.0,10.3,0.1,0.0,2.7
Tyler Kroft,BUF,1.1,10.1,0.1,0.0,2.7
Kahale Warring,HOU,1.1,12.0,0.1,0.0,2.7
Troy Fumagalli,DEN,1.1,11.9,0.1,0.0,2.6
Pharaoh Brown,HOU,1.0,11.1,0.1,0.0,2.6
Kaden Smith,NYG,1.3,10.6,0.0,0.0,2.6
Foster Moreau,LV,0.9,10.0,0.1,0.0,2.5
Lee Smith,BUF,1.0,8.5,0.1,0.0,2.5
Nick Vannett,DEN,1.1,10.5,0.1,0.0,2.5
Gabe Nabers,LAC,1.2,12.9,0.0,0.0,2.4
Ryan Griffin,NYJ,1.1,10.6,0.0,0.0,2.4
Jason Witten,LV,1.0,9.3,0.1,0.0,2.4
Ricky Seals-Jones,KC,0.8,9.6,0.1,0.0,2.4
Jace Sternberger,GB,1.0,9.7,0.1,0.0,2.3
Adam Trautman,NO,0.9,10.2,0.1,0.0,2.2
Tyler Conklin,MIN,0.9,9.1,0.1,0.0,2.2
Brycen Hopkins,LAR,0.8,7.8,0.1,0.0,2.2
Josh Hill,NO,1.0,9.7,0.0,0.0,2.1
Donald Parham Jr.,LAC,0.8,10.1,0.0,0.0,2.1
Brandon Dillon,MIN,1.0,11.1,0.0,0.0,2.1
Farrod Green,IND,0.7,7.5,0.1,0.0,2.1
Jason Croom,PHI,0.7,6.9,0.1,0.0,2.0
Caleb Wilson,PHI,0.7,6.7,0.1,0.0,2.0
Jordan Thomas,NE,0.6,6.2,0.1,0.0,1.8
Daniel Helm,SF,0.6,6.2,0.1,0.0,1.8
Demetrius Harris,CHI,0.8,7.9,0.0,0.0,1.8
Nick Keizer,KC,0.8,9.0,0.0,0.0,1.7
Vance McDonald,PIT,0.8,8.7,0.0,0.0,1.7
Stephen Carlson,CLE,0.7,7.8,0.0,0.0,1.7
Blake Bell,DAL,0.8,8.3,0.0,0.0,1.7
Jaeden Graham,ATL,0.7,8.4,0.0,0.0,1.6
Seth DeValve,ARI,0.7,7.9,0.0,0.0,1.6
Eric Tomlinson,BAL,0.7,7.1,0.0,0.0,1.6
Isaac Nauta,DET,0.7,7.7,0.0,0.0,1.5
Evan Baylis,ARI,0.6,5.4,0.1,0.0,1.4
Luke Stocker,ATL,0.7,6.1,0.0,0.0,1.3
Eric Saubert,JAC,0.6,6.2,0.0,0.0,1.3
Sean Culkin,BAL,0.6,6.5,0.0,0.0,1.2
Colby Parkinson,SEA,0.5,5.4,0.0,0.0,1.2
Charlie Woerner,SF,0.5,5.4,0.0,0.0,1.2
Deon Yelder,KC,0.5,5.7,0.0,0.0,1.2
Jakob Johnson,NE,0.4,1.8,0.1,0.0,1.2
Cethan Carter,CIN,0.5,6.3,0.0,0.0,1.2
Levine Toilolo,NYG,0.5,6.2,0.0,0.0,1.2
Derek Carrier,LV,0.5,4.5,0.0,0.0,1.1
Hunter Bryant,DET,0.5,5.0,0.0,0.0,1.0
Temarrick Hemingway,WAS,0.5,5.0,0.0,0.0,1.0
Johnny Mundt,LAR,0.4,4.6,0.0,0.0,0.9
Jeremy Sprinkle,WAS,0.4,3.6,0.0,0.0,0.8
Andrew Beck,DEN,0.2,2.1,0.1,0.0,0.7
