Player Name,Team,def_sack,def_int,def_fr,def_ff,def_td,def_safety,def_pa,def_tyda,fpts
New Orleans Saints,NO,3.4,1.2,0.7,1.3,0.2,0.1,18.4,322.3,9.4
Cleveland Browns,CLE,3.1,1.2,0.8,1.5,0.2,0.0,18.4,307.2,9.4
Pittsburgh Steelers,PIT,3.7,1.0,0.7,1.3,0.2,0.0,15.7,285.4,9.3
Chicago Bears,CHI,3.7,0.9,0.7,1.3,0.2,0.0,16.4,302.4,9.2
Detroit Lions,DET,3.5,1.1,0.7,1.1,0.2,0.0,17.9,283.7,9.1
Buffalo Bills,BUF,2.8,1.1,0.6,1.1,0.2,0.0,16.2,313.6,8.4
Atlanta Falcons,ATL,3.1,1.2,0.6,0.9,0.2,0.0,23.0,380.2,7.9
New England Patriots,NE,2.2,0.9,0.7,1.2,0.2,0.1,17.6,374.5,7.5
Jacksonville Jaguars,JAC,3.5,0.8,0.6,0.8,0.1,0.1,20.4,306.7,7.2
Oakland Raiders,OAK,2.7,1.1,0.6,1.1,0.1,0.1,20.7,306.1,7.1
Indianapolis Colts,IND,3.1,0.8,0.7,1.0,0.1,0.0,23.7,357.5,6.9
Tennessee Titans,TEN,2.3,0.7,0.6,0.9,0.1,0.0,18.0,332.6,6.8
Green Bay Packers,GB,2.7,0.9,0.6,1.0,0.1,0.0,24.0,379.8,6.7
Denver Broncos,DEN,2.6,0.9,0.6,0.9,0.2,0.0,20.2,313.5,6.7
Washington Redskins,WAS,2.8,0.9,0.6,1.2,0.1,0.0,21.1,311.8,6.6
Philadelphia Eagles,PHI,3.0,0.6,0.7,1.0,0.1,0.0,22.7,369.1,6.5
Miami Dolphins,MIA,2.4,1.0,0.5,0.7,0.1,0.0,27.0,386.9,6.3
Baltimore Ravens,BAL,2.1,0.9,0.6,1.0,0.2,0.0,20.6,358.7,6.3
Los Angeles Rams,LAR,2.5,0.8,0.6,1.0,0.1,0.0,23.6,382.5,6.2
San Francisco 49ers,SF,3.2,0.5,0.6,1.2,0.1,0.0,20.4,338.3,6.2
Tampa Bay Buccaneers,TB,2.5,0.7,0.7,1.2,0.1,0.0,28.0,374.4,6.2
New York Giants,NYG,2.5,0.9,0.6,0.9,0.1,0.0,23.1,298.5,6.1
Seattle Seahawks,SEA,2.5,0.7,0.7,1.4,0.1,0.0,22.9,337.0,6.0
Houston Texans,HOU,2.3,0.7,0.7,1.1,0.1,0.1,20.6,324.6,5.9
Cincinnati Bengals,CIN,1.8,0.9,0.5,0.7,0.1,0.0,21.2,342.7,5.6
New York Jets,NYJ,2.2,0.6,0.6,1.0,0.1,0.0,23.3,353.0,5.5
Carolina Panthers,CAR,2.0,0.7,0.6,0.9,0.1,0.0,27.6,389.3,5.3
Dallas Cowboys,DAL,2.0,0.6,0.6,0.8,0.1,0.0,23.3,354.5,4.9
