Player Name,Team,rec_att,rec_yds,rec_tds,rush_att,rush_yds,rush_tds,fumbles,fpts
Amari Cooper,DAL,6.0,87.9,0.6,0.2,0.9,0.0,0.1,15.5
DeAndre Hopkins,HOU,7.0,84.0,0.6,0.0,0.0,0.0,0.1,15.4
Chris Godwin,TB,5.8,84.2,0.6,0.0,0.3,0.0,0.1,14.8
Mike Evans,TB,5.3,86.4,0.6,0.0,0.3,0.0,0.1,14.6
Tyler Lockett,SEA,5.4,75.1,0.7,0.6,2.9,0.0,0.1,14.6
Kenny Golladay,DET,5.2,82.7,0.6,0.0,0.4,0.0,0.0,14.3
Julian Edelman,NE,6.3,72.6,0.5,0.5,3.5,0.0,0.1,13.7
Tyreek Hill,KC,5.0,74.6,0.5,0.7,4.9,0.0,0.1,13.7
Stefon Diggs,MIN,5.3,75.1,0.5,0.4,2.1,0.0,0.1,13.4
Keenan Allen,LAC,5.7,74.5,0.5,0.2,1.4,0.0,0.1,13.2
Odell Beckham Jr.,CLE,5.4,72.7,0.5,0.3,1.9,0.0,0.1,12.7
D.J. Chark,JAC,4.6,67.4,0.6,0.3,1.8,0.0,0.0,12.7
Allen Robinson,CHI,5.6,71.7,0.5,0.0,0.1,0.0,0.1,12.6
Adam Thielen,MIN,5.1,67.1,0.5,0.3,1.7,0.0,0.1,12.5
Courtland Sutton,DEN,4.7,70.7,0.5,0.0,0.0,0.0,0.0,12.2
JuJu Smith-Schuster,PIT,5.0,67.5,0.5,0.1,0.9,0.0,0.1,12.1
Tyrell Williams,OAK,4.5,62.7,0.6,0.0,0.1,0.0,0.0,11.9
John Brown,BUF,4.3,64.7,0.5,0.2,0.7,0.0,0.0,11.8
Michael Gallup,DAL,4.5,67.8,0.5,0.0,0.0,0.0,0.0,11.7
Marvin Jones,DET,4.4,62.3,0.5,0.1,0.2,0.0,0.0,11.6
Robby Anderson,NYJ,4.4,62.3,0.5,0.2,0.7,0.0,0.0,11.2
D.K. Metcalf,SEA,3.8,57.0,0.6,0.2,1.6,0.0,0.1,11.2
Davante Adams,GB,4.7,62.2,0.4,0.0,0.2,0.0,0.0,11.1
Golden Tate,NYG,5.1,58.4,0.4,0.4,2.9,0.0,0.1,10.7
Alshon Jeffery,PHI,4.7,54.5,0.4,0.1,0.6,0.0,0.0,10.7
Terry McLaurin,WAS,4.4,56.1,0.4,0.2,1.3,0.0,0.1,10.3
Jamison Crowder,NYJ,4.8,53.9,0.4,0.2,1.4,0.0,0.1,10.2
Preston Williams,MIA,4.1,57.4,0.4,0.3,1.9,0.0,0.1,10.2
D.J. Moore,CAR,4.9,61.0,0.2,0.5,5.5,0.0,0.2,10.1
Christian Kirk,ARI,4.7,55.8,0.2,0.5,4.3,0.0,0.1,9.2
Jarvis Landry,CLE,4.5,58.8,0.2,0.3,2.1,0.0,0.1,9.2
Corey Davis,TEN,3.8,50.4,0.4,0.2,1.4,0.0,0.0,9.2
Curtis Samuel,CAR,3.9,47.9,0.2,0.8,6.4,0.1,0.0,9.1
Chris Conley,JAC,3.4,48.9,0.4,0.0,0.3,0.0,0.0,8.8
Emmanuel Sanders,SF,4.3,50.8,0.2,0.1,1.2,0.0,0.0,8.8
Mike Williams,LAC,3.5,55.9,0.2,0.1,0.6,0.0,0.0,8.8
Kenny Stills,HOU,3.9,53.4,0.2,0.0,0.0,0.0,0.0,8.7
Marquise Brown,BAL,3.7,52.7,0.2,0.4,3.2,0.0,0.1,8.5
Sammy Watkins,KC,3.8,51.4,0.3,0.1,0.4,0.0,0.0,8.5
Devante Parker,MIA,3.7,53.0,0.2,0.0,0.0,0.0,0.0,8.4
Cole Beasley,BUF,4.4,47.2,0.2,0.1,0.5,0.0,0.0,8.2
Larry Fitzgerald,ARI,4.5,49.4,0.2,0.1,0.5,0.0,0.0,8.2
Danny Amendola,DET,4.3,48.0,0.1,0.0,0.1,0.0,0.0,7.8
Diontae Johnson,PIT,3.7,44.7,0.2,0.4,2.9,0.0,0.1,7.6
Marquez Valdes-Scantling,GB,2.6,41.0,0.3,0.2,1.4,0.0,0.0,7.5
Sterling Shepard,NYG,3.6,43.8,0.2,0.3,2.5,0.0,0.1,7.3
A.J. Brown,TEN,3.3,43.5,0.2,0.3,1.9,0.0,0.0,7.2
Phillip Dorsett,NE,3.2,39.3,0.2,0.2,1.4,0.0,0.0,6.9
Demaryius Thomas,NYJ,3.5,42.5,0.2,0.0,0.0,0.0,0.0,6.9
Mohamed Sanu,NE,3.3,37.4,0.2,0.3,1.6,0.0,0.0,6.5
Randall Cobb,DAL,3.3,39.6,0.1,0.2,0.8,0.0,0.0,6.5
Darius Slayton,NYG,2.9,38.9,0.1,0.4,2.2,0.0,0.0,6.4
Deebo Samuel,SF,2.9,33.0,0.2,0.7,4.7,0.1,0.1,6.4
Nelson Agholor,PHI,3.0,37.0,0.1,0.4,2.3,0.0,0.0,6.3
Adam Humphries,TEN,3.2,33.4,0.1,0.2,1.0,0.0,0.0,5.6
Anthony Miller,CHI,2.6,34.9,0.1,0.4,2.0,0.0,0.1,5.6
Hunter Renfrow,OAK,2.8,31.6,0.1,0.1,0.9,0.0,0.0,5.4
Taylor Gabriel,CHI,2.6,31.1,0.1,0.3,2.1,0.0,0.0,5.4
Zach Pascal,IND,2.5,33.4,0.1,0.1,1.0,0.0,0.0,5.3
DeSean Jackson,PHI,2.1,30.1,0.2,0.2,1.3,0.0,0.0,5.2
Geronimo Allison,GB,2.6,32.4,0.1,0.1,0.8,0.0,0.1,5.2
Paul Richardson,WAS,2.8,30.9,0.1,0.1,0.5,0.0,0.0,5.1
David Moore,SEA,1.9,29.7,0.2,0.1,0.7,0.0,0.0,5.0
Mecole Hardman,KC,2.1,30.6,0.1,0.1,0.6,0.0,0.0,4.9
Trey Quinn,WAS,3.1,28.5,0.1,0.2,1.3,0.0,0.1,4.8
Dante Pettis,SF,2.2,28.2,0.1,0.2,0.8,0.0,0.0,4.8
Jaron Brown,SEA,1.9,25.4,0.2,0.0,0.3,0.0,0.0,4.4
Allen Lazard,GB,2.1,26.5,0.1,0.2,1.1,0.0,0.0,4.4
Albert Wilson,MIA,1.9,23.5,0.1,0.4,1.9,0.0,0.0,4.3
Jakeem Grant,MIA,1.9,24.5,0.1,0.6,3.1,0.0,0.0,4.2
Demarcus Robinson,KC,1.8,24.4,0.1,0.0,0.0,0.0,0.0,4.2
Willie Snead,BAL,2.2,26.2,0.1,0.1,0.6,0.0,0.0,4.2
Olabisi Johnson,MIN,2.0,24.7,0.1,0.0,0.2,0.0,0.0,4.1
Allen Hurns,MIA,1.7,24.8,0.1,0.0,0.1,0.0,0.0,4.0
DeAndre Carter,HOU,2.0,23.9,0.1,0.3,1.8,0.0,0.0,4.0
DaeSean Hamilton,DEN,2.2,23.7,0.1,0.2,1.3,0.0,0.0,4.0
Jakobi Meyers,NE,2.0,24.8,0.1,0.2,0.9,0.0,0.0,3.9
Antonio Callaway,CLE,1.9,23.8,0.1,0.1,0.6,0.0,0.0,3.9
Keelan Cole,JAC,1.7,23.1,0.1,0.0,0.1,0.0,0.0,3.9
Zay Jones,OAK,1.9,21.8,0.1,0.1,0.5,0.0,0.0,3.8
James Washington,PIT,1.7,25.0,0.1,0.0,0.0,0.0,0.0,3.8
Fred Brown,DEN,2.1,23.7,0.1,0.1,0.3,0.0,0.0,3.7
Jake Kumerow,GB,1.6,22.9,0.1,0.1,0.8,0.0,0.0,3.6
Breshad Perriman,TB,1.7,22.5,0.1,0.1,0.8,0.0,0.0,3.6
Marvin Hall,DET,1.2,22.6,0.1,0.1,0.5,0.0,0.0,3.5
Chester Rogers,IND,1.9,21.8,0.1,0.1,0.4,0.0,0.0,3.5
Kendrick Bourne,SF,1.6,20.4,0.1,0.1,0.5,0.0,0.0,3.5
Keke Coutee,HOU,1.6,18.7,0.1,0.3,1.4,0.0,0.0,3.4
Tavon Austin,DAL,1.4,16.5,0.1,0.8,4.9,0.0,0.0,3.3
Jarius Wright,CAR,1.7,19.7,0.1,0.1,0.5,0.0,0.0,3.3
Parris Campbell,IND,1.7,19.9,0.1,0.1,0.5,0.0,0.0,3.3
Trent Sherfield,ARI,1.7,19.1,0.1,0.1,1.0,0.0,0.0,3.2
Miles Boykin,BAL,1.4,17.3,0.1,0.2,1.2,0.0,0.0,3.2
Tajae Sharpe,TEN,1.4,18.3,0.1,0.1,0.7,0.0,0.0,3.0
Trevor Davis,OAK,1.2,15.0,0.1,0.4,3.6,0.0,0.0,2.9
