Player Name,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Christian McCaffrey,CAR,20.2,97.4,0.9,5.8,49.3,0.3,0.2,27.3
Dalvin Cook,MIN,20.3,95.2,0.8,4.8,43.1,0.1,0.2,23.4
Alvin Kamara,NO,12.3,56.5,0.6,5.8,47.6,0.2,0.1,20.6
Ezekiel Elliott,DAL,22.4,101.8,0.7,3.2,27.8,0.1,0.2,20.5
Leonard Fournette,JAC,20.8,88.5,0.6,4.4,31.5,0.1,0.1,20.1
Josh Jacobs,OAK,20.6,96.2,0.9,2.1,17.5,0.1,0.2,19.2
Le'Veon Bell,NYJ,16.9,68.5,0.5,4.8,34.4,0.1,0.2,18.1
Melvin Gordon,LAC,17.6,78.6,0.7,2.7,23.1,0.1,0.1,17.6
James Conner,PIT,16.2,68.3,0.6,3.7,29.4,0.1,0.1,17.5
Nick Chubb,CLE,16.8,86.0,0.7,2.0,13.7,0.1,0.1,15.9
Tevin Coleman,SF,14.4,65.8,0.6,2.7,20.6,0.1,0.1,15.7
Damien Williams,KC,12.6,54.6,0.6,2.9,24.8,0.2,0.1,15.3
Devin Singletary,BUF,11.9,56.0,0.5,3.2,28.6,0.1,0.1,15.3
Brian Hill,ATL,13.6,63.9,0.3,2.8,21.6,0.2,0.1,14.3
Todd Gurley,LAR,15.3,60.7,0.6,2.5,19.5,0.1,0.1,14.2
Joe Mixon,CIN,16.1,64.8,0.4,2.6,20.4,0.1,0.1,14.1
Mark Ingram,BAL,13.3,62.8,0.7,2.1,17.0,0.0,0.1,13.9
Austin Ekeler,LAC,5.9,28.3,0.1,4.5,42.1,0.3,0.1,13.7
Miles Sanders,PHI,11.4,51.6,0.4,3.1,28.1,0.1,0.1,13.5
Phillip Lindsay,DEN,11.3,55.6,0.5,2.8,19.4,0.0,0.1,13.0
Marlon Mack,IND,17.1,75.5,0.4,1.7,12.3,0.0,0.1,13.0
Kenyan Drake,ARI,10.4,45.0,0.4,3.2,25.4,0.1,0.1,12.9
James White,NE,4.2,17.1,0.1,4.7,42.3,0.2,0.1,12.3
David Montgomery,CHI,15.2,61.2,0.3,2.4,17.2,0.0,0.1,12.0
Sony Michel,NE,16.0,63.6,0.5,0.7,5.4,0.0,0.1,10.6
Carlos Hyde,HOU,14.5,61.2,0.4,1.1,5.9,0.0,0.1,10.1
Royce Freeman,DEN,9.4,40.9,0.2,2.9,19.0,0.0,0.1,10.1
Ronald Jones II,TB,11.2,43.8,0.2,2.2,19.8,0.0,0.1,9.9
Kareem Hunt,CLE,6.3,29.7,0.1,3.0,24.7,0.1,0.1,9.6
Adrian Peterson,WAS,13.2,51.1,0.4,1.4,9.7,0.0,0.1,9.5
Kalen Ballage,MIA,13.1,53.8,0.2,1.6,14.5,0.0,0.1,9.5
Tarik Cohen,CHI,4.9,18.1,0.1,4.0,29.8,0.1,0.1,9.4
Duke Johnson,HOU,5.2,22.6,0.1,3.2,31.3,0.1,0.1,9.3
Jaylen Samuels,PIT,6.9,23.6,0.1,3.7,24.7,0.1,0.1,9.1
J.D. McKissic,DET,6.6,31.2,0.1,2.6,21.1,0.1,0.1,9.1
Latavius Murray,NO,10.3,41.0,0.3,2.0,13.6,0.0,0.1,9.0
David Johnson,ARI,8.0,30.0,0.1,2.6,23.4,0.1,0.1,9.0
Raheem Mostert,SF,10.9,53.0,0.2,1.4,9.3,0.1,0.2,8.6
Derrius Guice,WAS,10.4,42.2,0.2,2.0,13.8,0.0,0.1,8.5
Nyheim Hines,IND,3.8,14.7,0.0,3.5,27.5,0.0,0.1,8.0
Ty Johnson,DET,9.7,36.5,0.2,1.6,9.8,0.0,0.1,7.3
Rex Burkhead,NE,5.2,21.3,0.1,2.1,19.3,0.1,0.1,6.9
Frank Gore,BUF,10.4,43.3,0.1,1.1,8.4,0.0,0.1,6.6
Jalen Richard,OAK,2.9,14.2,0.0,2.5,21.0,0.0,0.1,6.4
Peyton Barber,TB,9.1,32.7,0.1,1.3,7.1,0.0,0.1,5.8
Giovani Bernard,CIN,4.6,16.6,0.1,1.9,15.5,0.0,0.1,5.4
Darrell Henderson,LAR,6.5,26.9,0.1,1.3,8.5,0.0,0.1,5.2
DeAndre Washington,OAK,5.3,21.3,0.1,1.5,10.5,0.0,0.1,5.2
Kenjon Barner,ATL,5.2,20.9,0.1,1.6,9.6,0.0,0.1,5.1
Dare Ogunbowale,TB,1.7,6.5,0.0,2.5,17.6,0.0,0.0,5.0
LeSean McCoy,KC,5.6,20.5,0.1,1.3,8.3,0.0,0.1,4.6
Alexander Mattison,MIN,7.2,32.7,0.1,0.5,2.8,0.0,0.1,4.4
Gus Edwards,BAL,7.2,32.1,0.1,0.4,1.9,0.0,0.0,4.3
Darrel Williams,KC,4.7,17.4,0.1,1.3,9.2,0.0,0.1,4.3
Patrick Laird,MIA,4.2,16.3,0.0,1.3,8.9,0.0,0.1,4.1
Ryquell Armstead,JAC,4.7,17.5,0.1,1.1,6.4,0.0,0.0,4.0
Tony Pollard,DAL,5.1,20.7,0.1,0.9,6.8,0.0,0.1,4.0
Myles Gaskin,MIA,2.9,10.5,0.0,1.5,9.4,0.0,0.1,3.7
Jeff Wilson,SF,5.1,18.5,0.1,0.8,4.2,0.0,0.1,3.6
Kyle Juszczyk,SF,1.2,3.8,0.0,1.5,12.8,0.1,0.0,3.5
Bilal Powell,NYJ,4.4,18.3,0.1,0.9,4.6,0.0,0.0,3.4
Paul Perkins,DET,5.0,16.7,0.0,0.9,6.5,0.0,0.0,3.4
Mike Davis,CAR,4.2,13.0,0.0,1.5,5.5,0.0,0.0,3.3
Jordan Wilkins,IND,3.8,23.0,0.0,0.6,2.9,0.0,0.1,3.2
Qadree Ollison,ATL,3.9,14.6,0.0,1.0,5.7,0.0,0.1,3.2
Malcolm Brown,LAR,5.3,20.9,0.1,0.3,3.2,0.0,0.0,3.1
Justice Hill,BAL,3.7,14.5,0.1,0.8,4.7,0.0,0.1,2.9
Wendell Smallwood,WAS,2.8,9.8,0.0,1.0,6.3,0.0,0.0,2.7
Brandon Bolden,NE,2.2,7.8,0.1,0.8,5.3,0.0,0.0,2.7
Boston Scott,PHI,3.3,11.9,0.1,0.7,3.5,0.0,0.0,2.5
Ryan Nall,CHI,3.2,9.7,0.0,1.2,4.1,0.0,0.0,2.5
CJ Ham,MIN,2.2,7.0,0.0,1.0,5.8,0.0,0.0,2.5
Reggie Bonnafon,CAR,3.1,12.2,0.1,0.6,3.5,0.0,0.1,2.4
Andy Janovich,DEN,1.3,4.2,0.0,1.1,7.1,0.0,0.0,2.2
Ty Montgomery,NYJ,1.8,6.8,0.0,0.9,5.8,0.0,0.0,2.1
Trayveon Williams,CIN,2.2,8.2,0.0,0.7,4.4,0.0,0.0,2.1
Darwin Thompson,KC,2.5,8.9,0.0,0.7,3.3,0.0,0.0,2.0
Zach Line,NO,1.5,4.8,0.0,0.8,4.5,0.0,0.0,2.0
Trey Edmunds,PIT,3.1,10.6,0.0,0.6,2.9,0.0,0.0,2.0
Dontrell Hilliard,CLE,1.2,4.0,0.1,0.8,4.8,0.0,0.0,1.9
Devontae Booker,DEN,1.9,7.0,0.0,0.7,4.0,0.0,0.0,1.8
Alex Armah,CAR,1.9,5.4,0.1,0.6,2.5,0.0,0.0,1.7
Patrick DiMarco,BUF,1.3,4.1,0.0,0.8,4.9,0.0,0.0,1.7
Jay Ajayi,PHI,1.4,6.1,0.0,0.5,3.4,0.0,0.0,1.7
Bo Scarbrough,DET,2.1,6.2,0.0,0.8,2.6,0.0,0.0,1.7
Ameer Abdullah,MIN,2.1,6.6,0.0,0.6,3.0,0.0,0.0,1.6
Samaje Perine,CIN,1.9,5.7,0.0,0.8,2.4,0.0,0.0,1.5
Taquan Mizzell,NO,1.2,3.5,0.0,0.8,3.6,0.0,0.0,1.5
Justin Jackson,LAC,1.2,3.9,0.0,0.7,3.4,0.0,0.0,1.4
Nick Bawden,DET,0.8,2.5,0.0,0.8,3.8,0.0,0.0,1.4
Derek Watt,LAC,1.5,5.0,0.0,0.5,3.0,0.0,0.0,1.3
T.J. Yeldon,BUF,1.3,4.9,0.0,0.4,2.3,0.0,0.0,1.3
Keith Smith,ATL,0.9,2.9,0.0,0.5,3.0,0.0,0.0,1.2
Kerrith Whyte,CHI,1.8,6.4,0.0,0.2,1.8,0.0,0.0,1.0
Chandler Cox,MIA,0.8,3.0,0.0,0.4,3.0,0.0,0.0,1.0
Dwayne Washington,NO,1.4,5.5,0.0,0.3,1.4,0.0,0.0,1.0
De'Lance Turner,MIA,1.2,4.0,0.0,0.4,1.8,0.0,0.0,1.0
Alec Ingold,OAK,1.2,3.9,0.0,0.4,1.6,0.0,0.0,0.9
Anthony Sherman,KC,1.0,2.8,0.0,0.4,2.4,0.0,0.0,0.9
Zach Zenner,ARI,1.0,3.4,0.0,0.3,1.2,0.0,0.0,0.9
T.J. Logan,TB,0.6,2.1,0.0,0.3,2.6,0.0,0.0,0.9
Josh Adams,NYJ,1.3,3.7,0.0,0.4,1.2,0.0,0.0,0.8
Tony Brooks-James,PIT,1.0,3.0,0.0,0.4,1.3,0.0,0.0,0.8
Patrick Ricard,BAL,0.1,0.5,0.0,0.3,1.9,0.0,0.0,0.8
John Kelly,LAR,1.0,3.0,0.0,0.4,1.0,0.0,0.0,0.7
Jordan Scarlett,CAR,1.0,3.0,0.0,0.3,0.9,0.0,0.0,0.7
Jamize Olawale,DAL,0.7,2.1,0.0,0.3,1.8,0.0,0.0,0.7
D'Ernest Johnson,CLE,0.6,2.7,0.0,0.2,1.9,0.0,0.0,0.6
Troymaine Pope,LAC,0.8,2.4,0.0,0.3,1.3,0.0,0.0,0.6
Damien Harris,NE,0.8,2.4,0.0,0.3,0.7,0.0,0.0,0.6
Mike Boone,MIN,0.9,3.5,0.0,0.2,0.7,0.0,0.0,0.6
Michael Burton,WAS,0.6,2.2,0.0,0.2,1.2,0.0,0.0,0.6
Devine Ozigbo,JAC,0.6,1.7,0.0,0.2,0.7,0.0,0.0,0.5
Jonathan Williams,IND,0.5,1.9,0.0,0.1,0.8,0.0,0.0,0.4
Roosevelt Nix,PIT,0.1,0.5,0.0,0.2,1.2,0.0,0.0,0.4
Taiwan Jones,HOU,0.3,0.9,0.0,0.2,1.0,0.0,0.0,0.4
Buddy Howell,HOU,0.4,1.8,0.0,0.1,0.7,0.0,0.0,0.3
Cullen Gillaspia,HOU,0.2,0.9,0.0,0.1,0.7,0.0,0.0,0.3
Senorise Perry,BUF,0.3,1.6,0.0,0.1,0.1,0.0,0.0,0.2
Tyler Ervin,JAC,0.1,0.2,0.0,0.0,0.3,0.0,0.0,0.1
