Player Name,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Christian McCaffrey,CAR,18.6,85.2,0.7,6.3,53.3,0.3,0.2,25.6
Dalvin Cook,MIN,18.9,90.3,0.6,4.4,35.6,0.1,0.2,21.2
Le'Veon Bell,NYJ,17.8,72.3,0.5,5.6,38.2,0.1,0.2,19.9
Ezekiel Elliott,DAL,20.8,95.3,0.7,3.0,25.8,0.1,0.2,19.7
David Johnson,ARI,14.8,58.8,0.5,5.1,43.3,0.3,0.2,19.7
Leonard Fournette,JAC,20.3,81.8,0.6,3.8,28.6,0.1,0.1,18.8
Aaron Jones,GB,14.8,71.7,0.8,3.5,28.1,0.1,0.1,18.5
Nick Chubb,CLE,17.4,87.9,0.7,3.0,20.3,0.1,0.1,18.4
Alvin Kamara,NO,12.9,61.4,0.6,4.6,38.6,0.1,0.1,18.4
James Conner,PIT,15.3,63.0,0.6,4.1,31.7,0.1,0.1,17.5
Melvin Gordon,LAC,17.0,70.4,0.6,3.1,23.7,0.1,0.1,16.4
Kerryon Johnson,DET,17.3,76.6,0.6,2.7,23.9,0.1,0.2,16.4
Mark Ingram,BAL,16.2,76.3,0.8,2.1,15.9,0.0,0.1,16.0
Chris Carson,SEA,18.2,82.8,0.5,2.6,17.5,0.1,0.3,15.9
Austin Ekeler,LAC,7.4,34.4,0.2,4.8,41.6,0.4,0.2,15.9
Derrick Henry,TEN,18.9,83.1,0.7,1.3,12.1,0.0,0.1,15.1
Phillip Lindsay,DEN,13.4,62.1,0.6,3.0,22.0,0.0,0.1,15.0
Damien Williams,KC,11.1,43.2,0.5,3.4,29.4,0.2,0.1,14.8
James White,NE,5.6,23.3,0.2,5.4,47.8,0.2,0.1,14.6
Devonta Freeman,ATL,13.4,53.9,0.3,3.9,30.8,0.1,0.1,14.5
Joe Mixon,CIN,14.6,62.5,0.5,2.7,20.4,0.1,0.1,14.1
Sony Michel,NE,19.1,80.1,0.7,1.1,7.7,0.0,0.1,14.1
Kenyan Drake,MIA,9.9,43.5,0.4,3.4,28.1,0.1,0.1,13.3
Chris Thompson,WAS,5.8,24.4,0.1,5.0,45.0,0.1,0.1,12.9
Matt Breida,SF,12.3,60.6,0.4,2.2,18.2,0.1,0.1,12.8
Carlos Hyde,HOU,15.8,68.6,0.5,1.3,7.2,0.0,0.1,11.7
Royce Freeman,DEN,11.4,48.0,0.2,3.0,16.7,0.0,0.1,11.0
Jordan Howard,PHI,13.6,55.2,0.5,1.4,9.0,0.0,0.1,10.6
Jonathan Hilliman,NYG,12.2,49.3,0.2,2.7,18.8,0.0,0.2,10.4
Miles Sanders,PHI,10.4,42.7,0.1,2.9,22.2,0.1,0.1,10.3
Tevin Coleman,SF,11.4,49.9,0.3,1.6,13.3,0.1,0.1,9.9
Adrian Peterson,WAS,16.3,61.2,0.3,1.2,8.3,0.0,0.2,9.8
Duke Johnson,HOU,6.1,29.5,0.1,2.9,27.4,0.1,0.1,9.3
LeSean McCoy,KC,9.3,36.0,0.1,2.6,18.1,0.1,0.1,9.2
Ronald Jones II,TB,12.3,51.5,0.2,1.3,12.4,0.0,0.1,8.7
Peyton Barber,TB,11.6,44.4,0.2,1.5,8.5,0.0,0.1,7.9
Ito Smith,ATL,6.8,27.5,0.1,2.3,17.9,0.0,0.1,7.7
Jamaal Williams,GB,7.3,27.1,0.1,2.2,14.7,0.1,0.1,7.2
Dion Lewis,TEN,4.5,18.3,0.1,2.5,16.9,0.1,0.1,6.6
Giovani Bernard,CIN,4.3,15.9,0.1,2.4,19.5,0.0,0.0,6.5
Malcolm Brown,LAR,7.9,32.2,0.2,1.0,7.8,0.0,0.0,6.3
Chase Edmonds,ARI,5.4,23.7,0.1,1.7,10.6,0.0,0.0,5.9
Latavius Murray,NO,7.2,26.7,0.2,1.3,7.4,0.0,0.0,5.6
Brandon Bolden,NE,3.9,15.3,0.2,1.4,10.3,0.1,0.1,5.3
Dare Ogunbowale,TB,1.5,5.8,0.0,2.5,17.9,0.0,0.0,5.2
Rashaad Penny,SEA,6.2,29.3,0.1,1.0,5.3,0.0,0.0,5.0
Gus Edwards,BAL,7.8,35.2,0.1,0.6,3.0,0.0,0.1,4.9
Ty Johnson,DET,5.0,20.0,0.1,1.4,8.8,0.0,0.1,4.6
Raheem Mostert,SF,5.1,24.6,0.1,1.2,7.9,0.0,0.2,4.6
Tony Pollard,DAL,5.8,23.0,0.1,1.0,7.2,0.0,0.1,4.6
Mark Walton,MIA,6.0,23.8,0.1,1.1,7.7,0.0,0.1,4.5
Alexander Mattison,MIN,6.7,25.6,0.1,0.8,4.4,0.0,0.1,4.3
Darrell Henderson,LAR,4.5,17.0,0.1,0.9,5.8,0.0,0.0,3.9
Tra Carson,GB,3.4,12.2,0.0,1.3,8.7,0.0,0.1,3.7
Kalen Ballage,MIA,5.0,17.8,0.1,0.9,6.1,0.0,0.1,3.6
Dontrell Hilliard,CLE,3.4,12.8,0.0,1.2,9.1,0.0,0.0,3.6
Benny Snell Jr.,PIT,4.2,16.1,0.1,0.9,5.6,0.0,0.0,3.5
Ryquell Armstead,JAC,3.7,13.3,0.1,0.9,5.9,0.0,0.0,3.3
Justice Hill,BAL,3.4,13.4,0.1,0.9,5.7,0.0,0.0,3.3
Ty Montgomery,NYJ,3.5,13.1,0.1,1.0,6.4,0.0,0.0,3.2
Elijhaa Penny,NYG,4.1,16.6,0.0,0.7,4.9,0.0,0.0,3.1
Darrel Williams,KC,3.1,11.0,0.1,0.9,5.5,0.0,0.0,2.9
J.D. McKissic,DET,2.0,10.8,0.0,0.9,6.4,0.0,0.0,2.8
C.J. Prosise,SEA,2.6,6.4,0.0,1.1,7.5,0.0,0.0,2.7
Wendell Smallwood,WAS,2.5,8.8,0.1,0.8,4.0,0.0,0.0,2.4
Reggie Bonnafon,CAR,2.8,11.0,0.1,0.4,2.8,0.0,0.0,2.2
Jakob Johnson,NE,0.7,3.0,0.0,1.1,7.0,0.0,0.0,2.1
CJ Ham,MIN,0.5,1.6,0.0,1.0,6.4,0.0,0.0,1.9
Ameer Abdullah,MIN,2.0,6.8,0.0,0.7,3.7,0.0,0.0,1.8
D'Ernest Johnson,CLE,1.2,4.6,0.0,0.7,4.5,0.0,0.0,1.8
Jeff Wilson,SF,2.2,6.7,0.1,0.4,1.5,0.0,0.0,1.6
Dan Vitale,GB,0.6,2.0,0.0,0.7,6.4,0.0,0.0,1.5
Alex Armah,CAR,0.8,3.3,0.1,0.5,2.1,0.0,0.0,1.4
Dwayne Washington,NO,2.1,6.4,0.0,0.4,1.2,0.0,0.0,1.3
Qadree Ollison,ATL,1.4,5.2,0.1,0.3,1.1,0.0,0.0,1.2
Andy Janovich,DEN,0.5,1.6,0.0,0.6,3.2,0.0,0.0,1.2
Derek Watt,LAC,1.0,3.6,0.0,0.5,2.9,0.0,0.0,1.2
Justin Jackson,LAC,2.5,4.1,0.0,0.5,2.0,0.0,0.0,1.1
Travis Homer,SEA,1.2,4.9,0.0,0.3,1.3,0.0,0.0,1.1
Zach Line,NO,0.6,2.3,0.0,0.5,2.0,0.0,0.0,1.1
Boston Scott,PHI,1.4,4.5,0.1,0.3,0.9,0.0,0.0,1.1
T.J. Logan,TB,0.8,3.1,0.0,0.3,2.0,0.0,0.0,1.1
Kenjon Barner,ATL,1.2,3.5,0.0,0.6,1.2,0.0,0.0,1.0
Anthony Sherman,KC,0.6,1.4,0.0,0.4,2.9,0.0,0.0,1.0
Devontae Booker,DEN,1.0,4.0,0.0,0.4,1.9,0.0,0.0,1.0
Trayveon Williams,CIN,1.1,3.6,0.1,0.2,0.9,0.0,0.0,1.0
Mike Boone,MIN,1.3,5.2,0.0,0.3,1.0,0.0,0.0,0.9
Bilal Powell,NYJ,1.0,3.9,0.0,0.4,1.3,0.0,0.0,0.9
Jamize Olawale,DAL,0.4,1.2,0.0,0.5,1.9,0.0,0.0,0.9
Nick Bawden,DET,0.4,1.5,0.0,0.4,2.6,0.0,0.0,0.8
Darwin Thompson,KC,1.1,3.5,0.0,0.2,0.7,0.0,0.0,0.7
Tyler Ervin,JAC,0.7,1.9,0.0,0.3,1.6,0.0,0.0,0.7
Brian Hill,ATL,0.9,3.7,0.0,0.2,0.9,0.0,0.0,0.7
Troymaine Pope,LAC,0.9,2.5,0.0,0.3,1.3,0.0,0.0,0.7
Detrez Newsome,LAC,0.8,2.2,0.0,0.3,0.7,0.0,0.0,0.6
Roosevelt Nix,PIT,1.0,2.6,0.0,0.3,0.8,0.0,0.0,0.6
Chandler Cox,MIA,0.8,3.0,0.0,0.2,1.0,0.0,0.0,0.6
Patrick Ricard,BAL,0.1,0.3,0.0,0.3,0.9,0.0,0.0,0.6
Buddy Howell,HOU,0.9,4.1,0.0,0.1,0.6,0.0,0.0,0.6
