Player Name,Team,def_sack,def_int,def_fr,def_ff,def_td,def_safety,def_pa,def_tyda,fpts
Chicago Bears,CHI,2.8,1.2,0.8,1.2,0.3,0.0,17.5,291.4,9.4
Pittsburgh Steelers,PIT,3.4,1.0,0.6,1.0,0.2,0.1,18.9,343.4,9.2
Arizona Cardinals,ARI,2.8,1.1,0.8,1.2,0.2,0.0,20.0,320.6,9.0
New England Patriots,NE,2.1,1.3,0.5,0.8,0.3,0.0,16.3,308.2,8.3
Houston Texans,HOU,2.4,1.1,0.7,1.0,0.2,0.0,19.2,304.1,8.3
Philadelphia Eagles,PHI,2.2,1.1,0.7,1.2,0.2,0.1,18.4,331.7,8.2
Baltimore Ravens,BAL,2.6,1.0,0.6,0.9,0.2,0.0,19.9,314.5,8.1
Miami Dolphins,MIA,2.6,1.2,0.7,1.1,0.2,0.0,26.1,387.8,7.8
Los Angeles Rams,LAR,3.3,0.8,0.7,1.2,0.2,0.0,23.0,377.4,7.6
Cincinnati Bengals,CIN,2.3,1.2,0.6,0.8,0.2,0.0,24.4,410.9,7.4
Kansas City Chiefs,KC,2.2,1.1,0.7,0.9,0.3,0.0,23.2,411.7,7.3
Detroit Lions,DET,3.0,0.8,0.8,0.9,0.2,0.1,24.9,383.0,7.2
Washington Redskins,WAS,2.7,0.8,0.8,1.2,0.2,0.0,20.8,359.3,7.1
Indianapolis Colts,IND,2.2,0.9,0.8,1.2,0.2,0.0,23.0,354.8,7.0
New Orleans Saints,NO,2.4,0.8,0.7,1.0,0.2,0.0,25.8,385.2,6.6
Carolina Panthers,CAR,2.3,0.9,0.6,1.1,0.2,0.0,23.8,367.8,6.6
Cleveland Browns,CLE,1.8,1.0,0.6,1.0,0.2,0.1,26.8,369.3,6.6
Seattle Seahawks,SEA,2.2,0.9,0.6,1.0,0.2,0.0,23.0,336.5,6.5
Green Bay Packers,GB,2.3,0.8,0.7,1.0,0.2,0.1,33.7,426.0,6.5
Jacksonville Jaguars,JAC,2.5,0.7,0.7,1.2,0.2,0.0,21.7,332.3,6.4
San Francisco 49ers,SF,2.1,0.9,0.6,0.8,0.2,0.0,20.0,295.7,6.4
Oakland Raiders,OAK,1.7,1.0,0.6,0.9,0.2,0.1,28.5,419.4,6.3
Tampa Bay Buccaneers,TB,1.9,0.9,0.7,1.0,0.2,0.0,28.6,389.2,6.2
New York Jets,NYJ,2.0,0.8,0.6,1.1,0.2,0.0,24.0,340.9,6.0
Minnesota Vikings,MIN,1.9,0.7,0.7,1.0,0.2,0.0,27.6,393.3,5.9
Buffalo Bills,BUF,1.8,0.7,0.7,1.2,0.2,0.0,29.5,378.6,5.6
Denver Broncos,DEN,1.8,0.8,0.5,0.7,0.2,0.0,31.1,391.9,5.6
New York Giants,NYG,2.0,0.6,0.6,0.9,0.1,0.0,23.4,365.2,5.4
